"sleepStartTimestampGMT","sleepEndTimestampGMT","calendarDate","sleepWindowConfirmationType","deepSleepSeconds","lightSleepSeconds","remSleepSeconds","awakeSleepSeconds","unmeasurableSeconds","retro"
"2022-03-06T04:15:00.0","2022-03-06T14:00:00.0","2022-03-06","ENHANCED_CONFIRMED_FINAL","3660","19380","10380","240","1380","False"
"2022-03-07T05:53:00.0","2022-03-07T13:43:00.0","2022-03-07","ENHANCED_CONFIRMED_FINAL","3420","17520","7260","0","0","False"
"2022-03-08T05:43:00.0","2022-03-08T13:10:00.0","2022-03-08","ENHANCED_CONFIRMED_FINAL","3420","15420","7740","240","0","False"
"2022-03-09T04:44:00.0","2022-03-09T13:44:00.0","2022-03-09","ENHANCED_CONFIRMED","3120","19440","9180","660","0","False"
"2022-03-10T05:28:00.0","2022-03-10T13:31:00.0","2022-03-10","ENHANCED_CONFIRMED_FINAL","3480","16200","9240","60","0","False"
"2022-03-11T05:18:00.0","2022-03-11T14:03:00.0","2022-03-11","ENHANCED_CONFIRMED","3840","18420","9060","180","0","False"
"2022-03-12T04:22:00.0","2022-03-12T15:28:00.0","2022-03-12","ENHANCED_CONFIRMED","3660","26880","9060","360","0","False"
"2022-03-13T05:20:00.0","2022-03-13T14:03:00.0","2022-03-13","ENHANCED_CONFIRMED","3540","18360","8640","840","0","False"
"2022-03-14T03:49:00.0","2022-03-14T13:17:00.0","2022-03-14","ENHANCED_CONFIRMED_FINAL","4560","19020","9780","720","0","False"
"2022-03-15T03:58:00.0","2022-03-15T12:53:00.0","2022-03-15","ENHANCED_CONFIRMED_FINAL","3780","18000","9660","660","0","False"
"2022-03-16T04:03:00.0","2022-03-16T12:58:00.0","2022-03-16","ENHANCED_CONFIRMED_FINAL","3360","19680","8760","300","0","False"
"2022-03-17T02:40:00.0","2022-03-17T11:28:00.0","2022-03-17","ENHANCED_CONFIRMED_FINAL","4320","19080","7740","480","0","False"
"2022-03-18T03:53:00.0","2022-03-18T13:13:00.0","2022-03-18","ENHANCED_CONFIRMED_FINAL","2460","22140","8520","480","0","False"
"2022-03-19T03:57:00.0","2022-03-19T14:18:00.0","2022-03-19","ENHANCED_CONFIRMED","3180","21360","12300","420","0","False"
"2022-03-20T03:46:00.0","2022-03-20T14:33:00.0","2022-03-20","ENHANCED_CONFIRMED_FINAL","3120","24480","10620","600","0","False"
"2022-03-21T04:38:00.0","2022-03-21T11:57:00.0","2022-03-21","ENHANCED_CONFIRMED_FINAL","4320","14640","7320","60","0","False"
"2022-03-22T03:24:00.0","2022-03-22T11:47:00.0","2022-03-22","ENHANCED_CONFIRMED_FINAL","4740","17400","7800","240","0","False"
"2022-03-23T03:48:00.0","2022-03-23T13:04:00.0","2022-03-23","ENHANCED_CONFIRMED_FINAL","3720","19020","10500","120","0","False"
"2022-03-24T04:00:00.0","2022-03-24T12:55:00.0","2022-03-24","ENHANCED_CONFIRMED_FINAL","4020","20220","7260","600","0","False"
"2022-03-25T04:29:00.0","2022-03-25T13:12:00.0","2022-03-25","ENHANCED_CONFIRMED_FINAL","5040","19680","6540","120","0","False"
"2022-03-26T03:47:00.0","2022-03-26T13:38:00.0","2022-03-26","ENHANCED_CONFIRMED","3120","22860","9000","480","0","False"
"2022-03-27T04:08:00.0","2022-03-27T13:58:00.0","2022-03-27","ENHANCED_CONFIRMED_FINAL","5520","22380","7320","180","0","False"
"2022-03-28T04:34:00.0","2022-03-28T13:05:00.0","2022-03-28","ENHANCED_CONFIRMED_FINAL","3540","17100","8880","1140","0","False"
"2022-03-29T04:23:00.0","2022-03-29T12:38:00.0","2022-03-29","ENHANCED_CONFIRMED_FINAL","1440","16680","11520","60","0","False"
"2022-03-30T03:46:00.0","2022-03-30T12:56:00.0","2022-03-30","ENHANCED_CONFIRMED_FINAL","3000","22380","7080","540","0","False"
"2022-03-31T04:37:00.0","2022-03-31T12:54:00.0","2022-03-31","ENHANCED_CONFIRMED_FINAL","3000","18660","8100","60","0","False"
"2022-04-01T04:19:00.0","2022-04-01T13:20:00.0","2022-04-01","ENHANCED_CONFIRMED_FINAL","4440","19620","8400","0","0","False"
"2022-04-02T05:21:00.0","2022-04-02T14:05:00.0","2022-04-02","ENHANCED_CONFIRMED_FINAL","1740","20820","8340","540","0","False"
"2022-04-03T03:45:00.0","2022-04-03T13:11:00.0","2022-04-03","ENHANCED_CONFIRMED_FINAL","3180","21660","7560","1560","0","False"
"2022-04-04T04:22:00.0","2022-04-04T13:24:00.0","2022-04-04","ENHANCED_CONFIRMED_FINAL","3060","22080","7020","360","0","False"
"2022-04-05T03:50:00.0","2022-04-05T12:48:00.0","2022-04-05","ENHANCED_CONFIRMED_FINAL","1980","22380","7800","120","0","False"
"2022-04-06T03:52:00.0","2022-04-06T12:38:00.0","2022-04-06","ENHANCED_CONFIRMED_FINAL","2220","17520","11700","120","0","False"
"2022-04-07T02:56:00.0","2022-04-07T13:46:00.0","2022-04-07","ENHANCED_CONFIRMED_FINAL","1620","24720","10980","1680","0","False"
"2022-04-08T05:02:00.0","2022-04-08T13:10:00.0","2022-04-08","ENHANCED_CONFIRMED_FINAL","2100","17520","9480","180","0","False"
"2022-04-09T04:58:00.0","2022-04-09T14:08:00.0","2022-04-09","ENHANCED_CONFIRMED_FINAL","3420","18420","10860","300","0","False"
"2022-04-10T03:37:00.0","2022-04-10T11:07:00.0","2022-04-10","ENHANCED_CONFIRMED_FINAL","2160","17280","7260","300","0","False"
"2022-04-11T03:02:00.0","2022-04-11T12:10:00.0","2022-04-11","ENHANCED_CONFIRMED_FINAL","2940","19740","10200","0","0","False"
"2022-04-12T03:59:00.0","2022-04-12T12:10:00.0","2022-04-12","ENHANCED_CONFIRMED_FINAL","2280","20220","6840","120","0","False"
"2022-04-13T03:57:00.0","2022-04-13T12:11:00.0","2022-04-13","ENHANCED_CONFIRMED_FINAL","3120","14580","11880","60","0","False"
"2022-04-14T03:54:00.0","2022-04-14T12:24:00.0","2022-04-14","ENHANCED_CONFIRMED_FINAL","3540","17100","9840","120","0","False"
"2022-04-15T03:54:00.0","2022-04-15T12:22:00.0","2022-04-15","ENHANCED_CONFIRMED_FINAL","2760","17400","10200","120","0","False"
"2022-04-16T03:38:00.0","2022-04-16T12:09:00.0","2022-04-16","ENHANCED_CONFIRMED_FINAL","5100","20040","5400","120","0","False"
"2022-04-17T03:41:00.0","2022-04-17T13:56:00.0","2022-04-17","ENHANCED_CONFIRMED_FINAL","2520","24420","9360","600","0","False"
"2022-04-18T03:03:00.0","2022-04-18T12:23:00.0","2022-04-18","ENHANCED_CONFIRMED_FINAL","3720","21360","7680","840","0","False"
